model,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,n_params
graphmp,1.2283304929733276,0.026838280657325176,2.608542502969733,0.26872990295472216,-0.15247675776481628,0.23314333579168706,66817
graphsage,1.2312098443508148,0.010205501605231098,1.8940842274825989,0.12938710949777762,0.3950645327568054,0.08371844350272457,22017
graphcn,1.2343953549861908,0.017925158557203117,1.8824844934338711,0.04715270850844727,0.4042551666498184,0.029764507240045777,13121
graphnet,1.4716652929782867,0.11801134306716803,1.9023693737271539,0.10474263484165766,0.39050640165805817,0.06751378427898792,13505
